FRAME ID,RESOLUTION,F1,TIME (S),NUM POINTS
0,1,0.0,2.058622360229492,53948
0,1,0.0,2.1904172897338867,53948
1,1,0.0,0.759075403213501,21100
1,1,0.0,0.8004312515258789,21100
2,1,0.0,6.013152122497559,70017
2,1,0.0,12.05806040763855,70017
3,1,0.0,2.6427459716796875,55126
3,1,0.0,2.498530149459839,55126
4,1,0.0,0.6137614250183105,21974
4,1,0.0,0.650970458984375,21974
5,1,0.0,0.6033837795257568,22022
5,1,0.0,0.6014647483825684,22022
6,1,0.0,1.4644393920898438,34918
6,1,0.0,1.505967617034912,34918
7,1,0.0,0.38560032844543457,11437
7,1,0.0,0.33832764625549316,11437
8,1,0.0,2.140768051147461,49599
8,1,0.0,1.975503921508789,49599
9,1,0.0,0.4581410884857178,16494
9,1,0.0,0.45481348037719727,16494
10,1,0.0,0.58990478515625,19541
10,1,0.0,0.5118439197540283,19541
11,1,0.0,2.124635696411133,48760
11,1,0.0,2.340655565261841,48760
12,1,0.0,0.08785176277160645,3710
12,1,0.0,0.07188081741333008,3710
13,1,0.0,0.8788297176361084,32722
13,1,0.0,0.8001141548156738,32722
14,1,0.0,0.49231743812561035,28247
14,1,0.0,0.49759697914123535,28247
15,1,0.0,1.8461177349090576,53461
15,1,0.0,1.797217607498169,53461
16,1,0.0,0.3000030517578125,15099
16,1,0.0,0.30411481857299805,15099
17,1,0.0,0.46514225006103516,13115
17,1,0.0,0.5508522987365723,13115
18,1,0.0,0.23375868797302246,4093
18,1,0.0,0.1950669288635254,4093
19,1,0.0,2.5013556480407715,50572
19,1,0.0,2.323054552078247,50572
20,1,0.0,2.510713577270508,43609
20,1,0.0,2.45873761177063,43609
21,1,0.0,2.7389471530914307,48635
21,1,0.0,1.704052448272705,48635
22,1,0.0,2.074526786804199,35527
22,1,0.0,1.7317090034484863,35527
23,1,0.0,0.7852280139923096,21404
23,1,0.0,0.7518022060394287,21404
24,1,0.0,1.444394826889038,42102
24,1,0.0,1.3037662506103516,42102
25,1,0.0,3.1659586429595947,59671
25,1,0.0,2.7273054122924805,59671
26,1,0.0,1.2579703330993652,36548
26,1,0.0,2.108381748199463,36548
27,1,0.0,0.518263578414917,17313
27,1,0.0,0.5387086868286133,17313
28,1,0.0,2.9992456436157227,52302
28,1,0.0,3.299509286880493,52302
29,1,0.0,8.502475500106812,76079
29,1,0.0,6.687501668930054,76079
30,1,0.0,10.019724130630493,89612
30,1,0.0,11.901735782623291,89612
31,1,0.0,2.8014373779296875,46012
31,1,0.0,2.117884635925293,46012
32,1,0.0,2.0494513511657715,48307
32,1,0.0,1.742534875869751,48307
33,1,0.0,0.13691926002502441,7380
33,1,0.0,0.1758737564086914,7380
34,1,0.0,0.6684322357177734,18946
34,1,0.0,0.5906980037689209,18946
35,1,0.0,1.3920950889587402,32698
35,1,0.0,1.3480987548828125,32698
36,1,0.0,0.579364538192749,13766
36,1,0.0,0.608422040939331,13766
37,1,0.08333333333333333,2.5525827407836914,53230
37,1,0.08333333333333333,2.7951488494873047,53230
38,1,0.0,2.5658836364746094,25052
38,1,0.0,1.7318108081817627,25052
39,1,0.0,5.532226324081421,61490
39,1,0.0,5.2110137939453125,61490
40,1,0.0,1.511605978012085,30702
40,1,0.0,1.1652472019195557,30702
41,1,0.0,0.72385573387146,14600
41,1,0.0,0.6023945808410645,14600
42,1,0.0,1.2887351512908936,20131
42,1,0.0,1.0010254383087158,20131
43,1,0.0,2.6737706661224365,52610
43,1,0.0,3.407139301300049,52610
44,1,0.0,1.2429084777832031,30631
44,1,0.0,1.6421973705291748,30631
45,1,0.0,0.9919507503509521,19784
45,1,0.0,0.8673875331878662,19784
46,1,0.0,2.2262463569641113,39711
46,1,0.0,1.8020505905151367,39711
47,1,0.0,3.887592315673828,53331
47,1,0.0,3.8710520267486572,53331
48,1,0.0,4.229586362838745,62364
48,1,0.0,2.990297555923462,62364
49,1,0.0,1.6959002017974854,46388
49,1,0.0,3.1637768745422363,46388
0,0.8,0.0,2.6312854290008545,43155
0,0.8,0.0,3.1685903072357178,43231
1,0.8,0.0,0.8898422718048096,16829
1,0.8,0.0,1.0968759059906006,16765
2,0.8,0.0,6.425043106079102,56010
2,0.8,0.0,6.200764894485474,55997
3,0.8,0.0,3.017057180404663,44079
3,0.8,0.0,3.3263328075408936,44066
4,0.8,0.0,0.822415828704834,17562
4,0.8,0.0,0.8158507347106934,17592
5,0.8,0.0,0.9907622337341309,17675
5,0.8,0.0,0.7402994632720947,17606
6,0.8,0.0,1.6448633670806885,27884
6,0.8,0.0,1.5025477409362793,27914
7,0.8,0.0,0.4815940856933594,9177
7,0.8,0.0,0.23473262786865234,9097
