FRAME ID,RESOLUTION,F1,TIME (S),NUM POINTS
0,1,0.0,18.927546739578247,53948
0,1,0.0,18.980344772338867,53948
1,1,0.0,3.1831774711608887,21100
1,1,0.0,3.433880090713501,21100
2,1,0.0,31.788203477859497,70017
2,1,0.0,39.87854766845703,70017
3,1,0.0,18.32446575164795,55126
3,1,0.0,17.974379777908325,55126
4,1,0.0,3.5235652923583984,21974
4,1,0.0,3.603917360305786,21974
5,1,0.0,3.5979537963867188,22022
5,1,0.0,3.6665561199188232,22022
6,1,0.0,7.839090585708618,34918
6,1,0.0,8.001702308654785,34918
7,1,0.0,1.186955451965332,11437
7,1,0.0,1.220850944519043,11437
8,1,0.0,15.109898805618286,49599
8,1,0.0,15.055203437805176,49599
9,1,0.0,2.1984784603118896,16494
9,1,0.0,2.220053195953369,16494
10,1,0.0,2.996849536895752,19541
10,1,0.0,2.9942681789398193,19541
11,1,0.0,16.069523811340332,48760
11,1,0.0,14.752424716949463,48760
12,1,0.0,0.2111344337463379,3710
12,1,0.0,0.19855380058288574,3710
13,1,0.0,7.244135618209839,32722
13,1,0.0,7.331880569458008,32722
14,1,0.0,5.747838735580444,28247
14,1,0.0,6.554689407348633,28247
15,1,0.0,18.765099048614502,53461
15,1,0.0,18.10216236114502,53461
16,1,0.0,2.230966806411743,15099
16,1,0.0,1.9962217807769775,15099
17,1,0.0,1.5165040493011475,13115
17,1,0.0,1.3619723320007324,13115
18,1,0.0,0.2957167625427246,4093
18,1,0.0,0.24435043334960938,4093
19,1,0.0,273.73277521133423,50572
19,1,0.0,22.10410976409912,50572
20,1,0.0,14.028761863708496,43609
20,1,0.0,14.591221332550049,43609
21,1,0.0,16.549296379089355,48635
21,1,0.0,16.61087131500244,48635
22,1,0.0,8.78730058670044,35527
22,1,0.0,8.189399480819702,35527
23,1,0.0,3.644963026046753,21404
23,1,0.0,3.7607009410858154,21404
24,1,0.0,12.172849655151367,42102
24,1,0.0,12.631689310073853,42102
25,1,0.0,22.67333221435547,59671
25,1,0.0,21.553184270858765,59671
26,1,0.0,15.744225978851318,36548
26,1,0.0,11.73521113395691,36548
27,1,0.0,2.7982242107391357,17313
27,1,0.0,4.062607765197754,17313
28,1,0.0,24.194687128067017,52302
28,1,0.0,24.108145475387573,52302
29,1,0.0,51.354706048965454,76079
29,1,0.0,52.70539212226868,76079
30,1,0.0,69.51203465461731,89612
30,1,0.0,71.94682908058167,89612
31,1,0.0,20.8316969871521,46012
31,1,0.0,18.600879192352295,46012
32,1,0.0,17.907794713974,48307
32,1,0.0,15.044636487960815,48307
33,1,0.0,0.5391976833343506,7380
33,1,0.0,0.6795766353607178,7380
34,1,0.0,2.839162588119507,18946
34,1,0.0,2.995516538619995,18946
35,1,0.0,7.293134450912476,32698
35,1,0.0,7.576242685317993,32698
36,1,0.0,1.6864852905273438,13766
36,1,0.0,1.544867753982544,13766
37,1,0.08333333333333333,18.394235610961914,53230
37,1,0.08333333333333333,32.275970697402954,53230
38,1,0.0,8.38197636604309,25052
38,1,0.0,7.695823907852173,25052
39,1,0.0,48.15459871292114,61490
39,1,0.0,48.15212869644165,61490
40,1,0.0,15.996057033538818,30702
40,1,0.0,9.760944843292236,30702
41,1,0.0,3.1626479625701904,14600
